cath_id,count
UNASSIGNED,378
3.20.20.70,50
2.30.30.110,2
1.10.10.10,198
1.20.120.530,13
3.40.50.300,190
2.60.40.2990,1
3.40.50.720,145
1.20.1250.20,109
3.30.479.20,2
1.10.10.60,68
3.40.630.30,23
1.20.58.1950,1
3.30.590.20,1
6.10.250.380,1
3.10.20.80,1
3.30.110.10,1
1.20.5.1040,1
3.40.930.10,11
1.10.3720.10,32
3.10.20.90,4
3.20.20.60,11
2.40.33.10,1
3.40.1380.20,2
1.20.1270.180,3
1.25.40.10,37
1.20.5.340,2
3.90.1150.10,33
3.10.129.10,12
6.10.250.1520,1
3.40.50.1820,19
2.30.40.10,10
3.20.20.140,10
3.40.350.10,3
2.40.30.60,1
2.30.30.240,1
3.90.950.20,1
3.40.50.620,34
3.10.20.510,1
1.20.81.30,2
3.10.580.10,7
3.30.465.10,11
1.20.5.120,1
3.30.300.10,5
3.30.499.10,2
1.10.8.10,3
3.40.250.10,10
3.30.390.10,8
3.20.20.20,7
1.10.520.20,1
3.40.50.1400,2
1.20.120.140,2
3.30.70.260,11
3.40.50.20,12
1.10.260.30,2
3.40.50.10490,18
3.30.420.230,2
3.40.50.11310,1
2.60.120.10,22
1.10.441.10,1
1.20.120.330,8
1.20.58.120,2
1.20.5.510,16
1.20.1270.380,1
3.20.19.10,3
1.20.120.1490,2
1.10.3730.10,1
3.40.50.2300,121
1.20.58.800,3
2.60.40.10,54
3.40.50.2000,27
3.30.450.20,26
3.30.420.40,53
3.10.310.50,2
3.10.450.70,2
3.40.30.10,30
2.60.40.1930,1
2.60.60.60,1
3.40.1170.10,1
3.30.420.110,2
1.10.1420.10,1
3.30.70.1200,1
3.30.70.1210,1
1.20.120.940,4
1.10.246.120,3
3.30.70.360,9
3.40.50.1950,2
3.40.50.10300,1
3.90.550.10,11
3.40.50.10470,1
6.10.280.30,1
3.30.1490.140,1
1.10.275.10,4
1.20.120.560,1
3.40.50.150,52
1.10.1760.20,4
3.30.70.270,24
1.20.58.890,2
1.10.260.40,33
3.30.70.60,1
2.60.40.50,1
1.10.10.200,2
3.40.50.280,1
3.30.70.1440,3
3.30.70.600,5
3.40.50.140,3
2.70.20.10,2
1.10.290.10,1
3.30.2060.10,4
1.10.3810.10,2
3.30.470.20,14
3.30.1490.20,13
3.40.50.261,5
2.40.50.140,48
3.40.50.980,9
3.30.300.30,12
3.30.780.10,2
1.10.357.10,8
2.40.30.10,22
2.40.50.100,17
4.10.640.10,1
3.40.50.1220,15
3.30.70.20,13
3.30.460.80,1
3.20.20.150,6
6.10.250.1780,1
3.40.1010.20,3
3.10.20.410,9
2.60.40.2070,10
3.30.110.60,2
3.40.640.10,25
2.160.10.10,15
3.30.870.10,11
1.20.120.1080,1
3.10.20.30,14
1.10.1060.10,2
3.30.450.40,19
3.40.50.1450,2
3.60.21.40,1
3.30.750.180,1
1.20.1300.10,2
3.30.420.140,3
3.30.1490.110,1
1.10.287.990,5
1.10.8.60,24
2.20.25.10,1
3.30.300.20,8
1.20.5.1760,2
3.90.76.10,6
3.40.50.12590,1
3.15.10.20,1
1.10.287.810,3
3.40.1390.10,3
3.90.190.20,6
1.20.58.370,3
3.20.20.120,6
1.10.287.210,11
1.20.120.160,8
3.10.450.350,3
2.160.20.80,7
3.40.1260.20,1
1.10.10.400,3
3.30.1370.10,3
3.55.50.30,4
2.170.130.10,8
3.30.420.370,3
3.30.1360.100,4
1.10.287.470,6
1.20.58.400,1
3.30.1840.10,1
3.40.1190.20,9
3.40.50.1860,9
1.20.5.220,11
3.20.130.10,3
3.30.565.10,30
3.30.230.10,12
3.40.190.10,134
3.30.160.40,1
1.20.5.640,17
2.70.70.10,6
1.10.287.180,3
2.60.40.3230,1
1.10.1040.10,12
3.30.370.10,1
1.10.287.3510,3
2.60.40.1090,27
3.50.50.60,49
3.30.1330.60,7
1.10.10.1600,1
2.40.50.430,1
3.30.70.330,11
2.60.40.2040,1
1.10.287.100,4
3.30.200.20,10
1.10.510.10,3
1.20.950.20,2
3.30.160.100,4
2.160.20.160,3
6.10.250.870,2
3.20.20.80,11
1.20.5.430,1
3.30.450.220,1
3.40.1840.10,2
3.30.1310.20,1
2.40.30.140,1
2.60.40.1180,7
6.10.140.1350,5
3.40.50.10220,1
3.10.290.10,8
3.30.70.580,3
3.30.70.1560,3
3.30.390.30,6
1.10.110.30,1
2.40.40.20,14
1.20.5.2440,1
2.40.160.10,3
3.30.110.140,2
3.30.360.20,1
3.10.310.10,5
2.60.120.620,1
1.20.5.1430,7
1.20.5.170,36
1.10.287.110,6
2.60.260.20,3
3.40.50.360,18
2.20.28.10,1
3.30.1360.10,1
2.170.120.12,1
1.10.150.20,8
3.30.479.30,3
3.30.160.60,2
1.20.5.110,11
2.40.160.20,5
3.30.70.120,7
3.10.50.40,8
3.30.160.390,3
1.10.150.130,9
1.10.443.10,12
1.20.1280.20,4
3.30.930.10,7
3.40.190.120,1
3.30.980.10,2
3.40.50.800,3
3.90.79.10,15
3.90.400.10,2
2.60.290.11,1
2.30.42.10,9
3.30.1480.10,1
1.10.150.50,1
3.30.1050.10,3
1.20.5.350,1
3.30.420.10,30
3.40.50.10090,2
3.90.850.10,2
3.30.360.10,15
3.30.1330.30,2
3.40.1280.10,8
2.30.30.30,6
1.20.59.10,6
3.30.70.1150,5
1.10.357.40,1
1.20.120.10,4
1.10.1610.10,1
3.40.50.10210,1
3.40.1260.10,5
1.20.120.900,1
1.10.8.710,1
1.20.5.420,10
3.30.460.10,6
3.30.2310.20,4
4.10.280.10,7
3.30.70.3550,1
3.40.630.70,1
3.30.30.60,3
3.90.25.10,12
