cath_id,count
UNASSIGNED,4149
3.10.180.10,8
1.25.40.20,347
1.20.930.10,118
1.25.40.90,330
1.20.58.740,35
1.10.287.110,39
3.40.50.300,950
2.60.40.10,5023
3.20.20.150,8
3.40.50.150,88
2.70.160.11,10
3.30.2410.10,24
3.90.70.10,16
2.60.120.380,23
1.10.238.10,236
1.20.1250.60,1
1.20.5.170,541
1.10.10.10,280
1.10.357.140,2
1.20.120.400,3
1.10.8.370,9
2.80.10.50,89
3.30.1960.10,1
1.20.1050.10,214
1.10.287.130,90
2.30.42.10,239
1.10.418.10,104
3.30.160.60,300
2.60.40.60,1238
2.60.40.1860,33
2.60.40.2030,139
3.10.100.10,113
2.60.40.1930,53
1.20.1070.10,150
3.30.420.510,3
3.30.420.40,109
3.30.70.330,321
6.10.250.720,30
1.20.5.300,86
3.40.1000.10,37
3.90.930.1,28
2.40.128.720,17
1.20.5.340,392
1.20.58.440,62
1.10.8.60,48
1.20.272.10,9
1.10.150.460,1
3.30.300.90,3
3.30.40.10,323
2.60.120.920,106
1.20.120.1070,1
3.40.50.10470,4
6.10.140.630,5
3.40.800.20,4
1.10.10.820,6
1.20.120.720,9
1.20.58.530,10
1.10.533.10,93
2.40.50.140,105
1.20.5.1180,38
1.20.5.1930,17
6.10.280.30,63
1.20.5.420,71
1.20.140.10,28
4.10.270.10,18
1.20.1440.20,1
2.60.40.640,30
3.10.20.620,4
1.10.246.190,1
3.10.20.90,276
2.60.40.690,16
6.10.140.2140,4
2.40.50.40,64
3.90.226.10,20
2.40.128.20,20
1.10.287.80,36
1.10.10.60,277
2.40.70.10,24
1.25.40.10,368
2.60.120.1330,5
2.60.310.10,2
2.60.120.260,216
1.20.5.390,9
1.10.287.210,108
1.20.5.110,264
1.10.510.10,371
3.30.200.20,450
1.10.132.110,2
1.10.287.1060,131
6.10.250.1310,16
2.60.60.20,34
1.20.1300.10,76
1.20.58.1280,46
3.30.710.10,143
1.20.960.10,7
1.20.1270.350,2
2.10.70.10,308
2.60.120.40,55
1.20.5.510,23
3.90.1290.10,40
1.20.5.2650,6
2.60.210.10,19
1.20.20.10,17
6.10.140.1060,13
2.40.128.190,90
2.40.128.460,20
4.10.280.10,95
